Department Level 1,Department Level 2,Department Level 3,Role,Employment type,Time with organisation,,Age group,Gender,Which of the following building blocks do you work in? ,Mobility outside the office,Your main office location,"Other offices (including clients, partners, suppliers or serviced offices)",Working while travelling between locations,Home,Elsewhere,"Working from home, what type of work setting do you use most often?","In your workplace, what type of work setting do you use most often?",Mobility inside the office,"Individual focused work, desk based",Individual focused work away from your desk,Individual routine tasks,Reading,Collaborating on focused work,Collaborating on creative work,"Informal, un-planned meetings",Planned meetings,Informal social interaction,Business confidential discussions,Private conversations,Telephone conversations,Thinking/creative thinking,Learning from others,Audio conferences,Spreading out paper or materials,Using technical/specialist equipment or materials,Relaxing/taking a break,Larger group meetings or audiences,"Hosting visitors, clients or customers",Video conferences,Meeting rooms (large),Meeting rooms (small),Desk/room booking systems,Quiet rooms for working alone or in pairs,Informal work areas/break-out zones,Accessibility of colleagues,Variety of different types of workspace,Desk,Chair,Ability to personalise my workstation,Space between work settings,Dividers (between desk/areas),People walking past your workstation,Personal storage,Shared storage,Archive storage,General décor,Plants & greenery,Art & photography,Atriums & communal areas,Air quality,Temperature control,Noise levels,Natural light,Office lighting,Mail & post room services,IT Help desk,"Hospitality services (e.g. guest reception/services, catering, meeting services)",Restaurant/canteen,"Tea, coffee & other refreshment facilities","Leisure facilities onsite or nearby (e.g. gym, fitness/wellness centre)",Reception areas,General tidiness,General cleanliness,Security,Health & safety provision,"Access (e.g. lifts, stairways, ramps)",Internal signage,Shower facilities,Toilets/W.C.,"Parking (e.g. car, motorbike or bicycle)",Telephone equipment,Printing/copying/scanning equipment,"Computing equipment, fixed (desktop)","Computing equipment, mobile (e.g. laptop, tablet)",Wired in-office network connectivity,WiFi network connectivity in the office,Remote access to work files or network,Audio-Visual equipment,Guest/visitor network access,Workplace culture,"Corporate image (for visitors, clients, potential recruits etc.)",Environmental sustainability,It enables me to work productively,It enables us to work productively,It supports me sharing ideas/knowledge amongst colleagues,It creates an enjoyable environment to work in,It contributes to a sense of community at work,It's a place I'm proud to bring visitors to,The design of my workplace is important to me,What aspects of the Pier 4 *space* are your favorite and what could we work to improve?
Global Services (GS),Core Staff (CS),Marketing,Individual Contributor,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,70,0,0,30,0,A non-work specific home location (such as a dining table),A meeting room,I perform some of my activities at a single work setting but often use other locations within the office,,0,0,1,2,0,0,2,2,0,-1,2,1,0,2,0,0,0,0,0,3,1,1,1,-1,2,2,2,2,2,2,0,0,-1,1,1,0,2,0,0,0,1,1,-2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,2,2,0,2,3,1,1,2,2,3,2,3,3,"I love Pier 4! My only issue is that I perform a job that requires focus and the office is often loud. Also occasionally, there are no functioning workstations available on my floor (7), which hurts my productivity significantly. "
Global Services (GS),Core Staff (CS),Partner Services,Individual Contributor,Full time,0 - 6 months,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform most/all of my activities at a single work setting and rarely use other locations within the office,3,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,0,0,2,2,0,3,1,2,0,0,0,0,1,1,1,1,-1,-1,-1,1,0,0,1,1,0,1,0,-1,-1,1,0,1,2,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,2,0,2,0,1,0,2,2,2,2,1,2,2,1,1,2,"I love the view, the windows all around the office and the rooftop patio. The monitors are great and it is fairly easy to book a conference room when needed. The drawbacks can be that occasionally it can be difficult to reserve the larger conference spaces and also possibly more frequent fruit deliveries to the busier floors? (8 specifically)"
Global Services (GS),Core Staff (CS),IT,Individual Contributor,Full time,6 - 18 months,,25-34,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,85,0,0,10,5,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,0,0,1,1,2,2,3,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,2,3,1,2,2,2,3,3,2,3,
NAMR ,Core Staff (CS) ,Finance,Individual Contributor,Full time,3 - 8 years,,35-44,Male,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,1,0,2,0,3,0,2,3,-2,0,-3,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-2,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,2,2,
Global Services (GS),Senior Manager / Director (SM),Finance,People Manager,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,0,0,0,3,0,3,3,3,0,-1,-2,0,0,3,0,0,0,3,3,0,2,2,1,2,0,0,0,2,2,-1,0,0,-2,0,0,0,0,0,0,0,1,-1,-1,1,-1,0,1,0,0,2,0,0,0,-2,0,0,0,0,0,1,-1,-1,2,0,1,2,2,2,0,0,3,1,-2,-1,1,1,1,1,3,1,"The facilities are great for collaboration.  The design and aesthetics are pleasant. It’s a really nice building once you make it here.  Facilities could use more regular cleaning, such as the tables in the cafe when people don’t clean after themselves during lunch.  The workstations are never cleaned or sanitized. Need more trash and recycling bins, and would prefer better temperature control and the circle lights are distracting / headache inducing given the placement it would be helpful to be able to dim. I wish we could at least switch to biodegradable silverware or green options and paper straws if we’re not going to do away with single use plastic. From a work perspective not having a landline and using a virtual phone in an open concept is a non starter so we basically don’t have phones at all which is challenging when cell phones are not reimbursed below director. We have to pre schedule all meetings with any colleagues or advisors not in the office as a webex. It really slows down the pace of work when you eliminate those quick conversations."
NAMR ,"Manager, Supervisor, Specialist (MSS)",Marketing,Individual Contributor,Full time,Over 12 years,,55-64,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,80,0,0,20,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,2,0,2,0,2,0,2,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,-1,0,0,1,1,1,1,1,-1,0,1,1,1,2,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-2,1,0,0,
Global Services (GS),Core Staff (CS),Operations ,Individual Contributor,Full time,3 - 8 years,,35-44,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform most/all of my activities at a single work setting and rarely use other locations within the office,3,3,3,0,3,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0,0,0,2,2,2,2,"The new office is beautiful, the lighting is perfect. Amenities, barista. I feel lucky to work here, very satisfied with the new building."
Other,,,Individual Contributor,Full time,6 - 18 months,,25-34,Male,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,2,0,0,0,0,-3,0,0,-3,0,-1,0,0,0,0,-3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,-1,0,0,0,1,2,0,1,1,1,0,2,0,2,2,2,-1,2,2,-2,0,0,0,0,2,0,0,1,0,0,2,2,2,0,2,0,0,2,1,2,2,2,1,1,1,1,3,2,Phone and individual rooms. Add monitors to them though. Add doors on other side entrance to Barista
Global Services (GS),Core Staff (CS),IT,Individual Contributor,Full time,6 - 18 months,,18-25,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,80,0,0,20,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,2,1,2,0,2,2,2,0,3,3,2,2,3,0,0,3,0,3,3,2,2,1,2,1,2,0,2,2,0,1,1,1,2,1,0,2,2,2,2,2,1,1,2,2,2,2,0,1,2,2,0,1,1,2,2,2,2,2,2,0,1,2,1,2,2,2,2,0,1,3,3,-1,2,2,2,3,3,2,2,
Global Services (GS),Core Staff (CS),Marketing,Individual Contributor,Full time,0 - 6 months,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,2,0,0,2,2,1,2,2,0,0,2,0,2,2,0,2,0,2,0,2,1,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,1,0,-1,-1,1,0,2,2,2,1,0,1,0,1,1,2,0,0,1,0,-1,0,0,1,-1,1,0,1,1,1,0,2,2,2,1,2,2,1,2,2,2,"I love the kitchens, the coffee bar, the decor and the varying conference room sizes and feels. It's a beautiful space that fosters collaboration. I would like to see a change in the keyboards/mice in the shared workstations. They get dirty easily and I'd like there to be a way that perhaps we could have our ""own"" so we're not sharing (ie germs). "
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Marketing,Individual Contributor,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I rarely work there and primarily work elsewhere,20,0,0,80,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,0,0,1,-1,-1,2,-2,0,0,0,-1,0,2,0,0,0,0,0,2,0,1,0,1,0,-1,0,2,1,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,2,0,0,2,0,2,2,0,0,1,1,0,0,0,0,2,0,-1,0,0,0,0,0,1,0,0,0,1,2,-2,2,2,1,2,-1,2,2,the openness of the staircase and amount of windows/natural light really make the office a pleasant place to be. 
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",IT,People Manager,Full time,3 - 8 years,,45-54,Female,Pier 4 - Global Services ,I regularly work there but primarily work off-site or work elsewhere,40,0,0,60,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,,0,0,0,2,0,-1,3,0,0,-1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,2,2,0,2,1,1,2,0,1,1,"Love the barista, the roof deck, the ability to instantly book a room if it is free. I'd love to be able to pre-book a desk before I arrive so I don't spend the first 15 minutes wandering around looking for a place to sit."
Global Services (GS),Senior Manager / Director (SM),IT,People Manager,Full time,Over 12 years,,55-64,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,-1,0,-1,-2,2,0,0,3,0,0,1,1,0,0,0,-2,0,3,0,0,3,0,1,0,-2,0,0,0,2,2,1,1,2,2,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,1,0,0,-2,0,2,0,2,1,0,0,0,0,0,-3,0,-1,0,0,0,2,The printer situation is a real fiasco
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",IT,Individual Contributor,Full time,0 - 6 months,,25-34,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,2,0,2,0,2,2,2,0,0,2,2,0,2,0,0,2,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,2,0,0,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,0,1,1,0,0,2,0,0,2,0,1,0,0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,
Consulting,Local BST,,Individual Contributor,Full time,0 - 6 months,,18-25,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,3,3,2,3,3,Love the Cafe and all our wonderful baristas! The office services mail team is obviously very busy - but my team worries about packages being processed in a timely manner. 
NAMR ,Core Staff (CS) ,HR / People / D&I / Benefits,Individual Contributor,Full time,6 - 18 months,,25-34,Female,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,2,3,2,3,3,3,3,2,3,2,3,0,-1,3,0,0,3,3,3,3,0,2,2,2,2,0,2,2,2,-2,0,0,0,-2,-2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,3,3,2,3,3,3,3,3,3,3,"I love that this space is collaborative and also private. I can share ideas with colleagues and just as easily hop into a private phone room. The amenities are fantastic, private bathrooms, wellness rooms, gym, etc. For improvement, I really only have one - PLEASE put some kind of couch/table/ANYTHING in the lobby by the entrance. Every morning I have to drop my bag on the ground to dig for my access badge. The space is blank and open and uninviting. "
Global Services (GS),Core Staff (CS),Partner Services,Individual Contributor,Full time,6 - 18 months,,18-25,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,1,0,0,2,0,-2,2,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,1,-1,1,1,-1,1,1,1,-2,0,0,-1,0,0,0,1,1,1,1,1,-2,0,2,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,2,3,1,2,2,1,2,1,3,2,I love the windows and open aspect of the staircase which helps with feeling trapped inside an office all day. I definitely think the temperature controls could be improved as there is still a huge difference in different parts of the office and it is often way too cold!
Consulting,Other,,People Manager,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,70,15,0,15,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,-1,1,0,0,0,0,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,2,1,1,1,1,1,1,2,2,There are not enough white boards in meeting rooms
Global Services (GS),Senior Manager / Director (SM),Finance,People Manager,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,70,0,0,30,0,A dedicated work room or office,A flexible/non-allocated workstation,I use multiple work settings and rarely base myself at a single location within the office,,0,0,1,3,2,2,3,3,1,-1,2,0,0,3,0,0,0,0,0,2,1,2,-1,1,1,-1,2,2,2,1,0,0,0,1,0,0,0,-1,-1,1,0,-1,-1,1,1,1,1,1,1,2,0,0,1,-1,0,0,0,1,0,0,-1,0,2,0,0,0,2,1,0,0,3,2,1,1,1,2,3,1,3,3,"The communal areas on each floor and the larger café areas are great - I love that they have their own personality and offer unique seating options. The mothers room spaces and set ups are AMAZING - thank you for making us a priority. The desk/office space is nicely designed but already struggle with it being full and it feels a little too tightly packed in some rows. Additionally, many of the desk areas do not get cleaned so there are crumbs, greasy fingerprints, etc. Still hoping for desk and office booking system -- also so that we can find where people are sitting. Parking garage is very nice but obviously we struggle with space constraints and high prices. "
NAMR ,"Manager, Supervisor, Specialist (MSS)",Finance,Individual Contributor,Full time,3 - 8 years,,25-34,Male,Pier 4 - NAMR ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,2,2,0,2,0,0,2,1,2,0,2,0,0,2,0,0,2,2,0,2,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,1,1,0,-2,0,0,0,2,2,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,3,3,-1,2,2,2,2,2,3,3,"Favorite: barista, free onsite gym, curved monitors, nice views, almost all of boston in once place   Improve: lunch options in the area and the elevators close too quickly. Badges should trigger the elevator floor."
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Marketing,People Manager,Full time,3 - 8 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,50,0,15,35,0,A dedicated work room or office,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,-1,2,1,2,2,2,2,2,1,-1,0,2,-1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,"I love our office! I just would love to have lunch provided sometimes, as the NYC office, that's the only thing I think about when I'm there."
Global Services (GS),Core Staff (CS),IT,Individual Contributor,Full time,6 - 18 months,,25-34,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,75,0,5,20,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,2,0,1,3,2,2,3,3,2,2,1,1,3,3,0,2,3,1,0,3,1,2,0,1,2,1,2,0,2,0,0,0,0,1,1,0,2,1,1,2,2,2,1,2,2,0,2,0,2,2,0,0,2,2,0,0,1,0,0,2,0,0,0,0,2,0,2,2,2,-1,3,3,1,2,3,3,3,3,3,3,"Pros: Coffee Bar; Shared Workspace; Impeccable IT Help Desk; Ambiance. --- Cons: People still don't book rooms consistently enough, or they ignore booked rooms; elevator screens don't work most of the time, and I'm not sure what floor I'm on or going to."
Consulting,Consultant,,Individual Contributor,Full time,18 months - 3 years,,25-34,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,15,80,5,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,3,0,0,0,2,0,1,2,3,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,2,2,0,0,2,0,2,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,2,2,2,0,0,1,0,2,2,0,2,0,2,2,2,2,2,3,2,2,2,2,3,3,3,3,
Consulting,Associate,,Individual Contributor,Full time,18 months - 3 years,,25-34,Male,Pier 4 - Boston ,I regularly work there but primarily work off-site or work elsewhere,20,70,10,0,0,-99,A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,1,-1,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,2,3,-1,1,1,2,2,2,3,1,"Love the open seating, would be good to have some direction of ""this is a quiet corner"" vs. ""this is a collaborative corner""; LOVE having the gym, it's been a huge improvement to my health and mental wellness (e.g. love starting Friday off with a workout); minor point - a lot of the monitors are very sensitive and will disconnect at random times and I have to move the usb cable for it to reconnect, (sometimes it happens once and isn't worth walking down to IT) but it can be disruptive to productivity; would love to look into how we can make the office more environmentally sustainable"
Other,,,People Manager,Full time,6 - 18 months,,35-44,Male,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,95,0,0,5,0,Other,A flexible/non-allocated workstation,I perform most/all of my activities at a single work setting and rarely use other locations within the office,1,0,0,0,1,1,0,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,
Global Services (GS),Core Staff (CS),HR / People ,Individual Contributor,Full time,18 months - 3 years,,25-34,Female,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,90,0,0,10,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,2,1,0,2,2,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,2,2,2,2,2,2,2,"The barista and the views are amazing! The desk space could use more dusting (seems like they only clean the desk but the monitors and webcams are super dusty). Would also love to have the desk booking system back again to help with knowing where the open desks are. The lobby is very boring, especially in comparison with the building in the opposite corner by honeygrow, ours definitely needs some sprucing up. Overall very happy with the space, keep the great work team!"
Global Services (GS),Other,Legal,Senior Leader,Full time,0 - 6 months,,25-34,Prefer not to say,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,85,0,0,15,0,A dedicated work area (but not a separate room),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,2,3,2,1,2,2,2,3,2,2,1,2,3,-1,3,-2,0,2,3,0,3,2,2,2,0,2,0,2,2,2,-3,0,0,0,-1,0,0,1,-1,-1,-1,2,1,1,2,2,-1,1,1,0,1,1,-1,0,1,1,1,2,0,0,1,-2,-3,-2,0,0,-2,1,1,1,0,0,0,0,1,0,1,1,1,2,2,I believe the workspace is great for removing the Chinese walls that exist in other organizations.  I can interface and have visibility into the working styles of my boss and my boss's boss.  This gives me a sightline into expectations and how to manage said expectations and vice versa they can see my work style and reasonably adjust expectations.  It humanizes interactions and I found that to be humbling for both parties.  I would like to see internal affordable food options.  The neighborhood does not provide for affordable lunch options.  
Global Services (GS),Partner,"Operation Services (Travel, Meetings, Real Estate, Procurement & Production)",Senior Leader,Full time,8 - 12 years,,45-54,Female,Pier 4 - Global Services ,I primarily work there but attend meetings off-site or work elsewhere,40,35,10,15,0,A dedicated work room or office,A quiet room/private office (available for flexible use),I use multiple work settings and rarely base myself at a single location within the office,3,0,0,0,3,2,3,3,2,3,3,3,2,3,0,0,0,0,3,0,3,2,2,2,2,2,0,2,2,2,0,0,0,0,2,0,0,1,0,0,0,2,2,0,2,0,0,2,1,0,2,0,0,2,2,2,2,0,0,0,2,0,2,2,0,2,0,2,2,2,0,2,3,1,3,3,3,2,2,3,2,
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",Partner Services,People Manager,Full time,6 - 18 months,,35-44,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,80,0,0,20,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform the majority of my activities at a single work setting but also use other locations within the office,1,0,0,0,3,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,-2,1,1,0,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,3,-1,-1,2,0,0,3,2,
Consulting,Consultant,,Individual Contributor,Full time,3 - 8 years,,25-34,Male,Pier 4 - Boston ,I primarily work there but attend meetings off-site or work elsewhere,55,30,15,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Could you add a squat rack to the gym please?
Global Services (GS),"Manager, Supervisor, Specialist (MSS)",IT,Individual Contributor,Full time,0 - 6 months,,25-34,Male,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,85,5,0,10,0,A non-work specific home location (such as a dining table),A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,2,0,0,0,3,0,3,3,3,0,3,1,0,2,1,0,0,3,0,0,-1,1,1,0,0,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,-1,-1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,3,3,2,3,3,3,3,3,3,2,The cafe areas and barista are great for informally meeting people and catching up.  The temperature could be improved (desk areas and some conference rooms get progressively colder as the day goes on).
Consulting,Local BST,,Individual Contributor,Full time,6 - 18 months,,18-25,Female,Pier 4 - Boston ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,"A workstation, assigned solely to you, in an open plan office area",I perform the majority of my activities at a single work setting but also use other locations within the office,2,0,0,0,2,0,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,2,2,0,2,1,2,2,2,2,2,
Global Services (GS),Senior Manager / Director (SM),HR / People ,Individual Contributor,Full time,0 - 6 months,,35-44,Female,Pier 4 - Global Services ,I primarily work there and rarely need to work elsewhere,100,0,0,0,0,-99,A flexible/non-allocated workstation,I perform some of my activities at a single work setting but often use other locations within the office,-1,0,-1,-1,-1,0,0,1,0,-1,0,-1,0,0,0,-1,0,0,1,0,-1,1,1,-2,-1,0,-1,0,-1,-1,-2,0,-2,-2,-2,0,0,0,0,0,0,-1,-1,-1,1,-1,2,2,1,0,2,2,2,2,2,2,0,2,2,2,2,0,0,1,0,1,2,2,1,1,0,-1,0,0,-3,-2,-3,-3,-3,0,2,"I love the location and parking options nearby.  You can't beat the convenience and the view!  I love the gym facilities and shower access provided.  The free coffee/tea/seltzer water are a great treat! There is great natural light in the office.  However, because everything is so open, it's like you're in a fishbowl.  I feel uncomfortable 90% of the time and I notice that people tend to be jumpy because they feel like they are always on display.  Instead of promoting collaboration, I think it promotes people to become more like hermits.  People are afraid to talk out in the open and the conference rooms are wide open so anyone can see what you are sharing in a private meeting.  I notice that a conference room will say it's open online but when I arrive, someone is sitting in there.  They are not either booking it or checking in when they arrive.  And I think this is because so many people are just seeking some privacy so they get up and walk to the nearest room.  The completely open seating with no ability to reserve a desk means that there have been times where I either don't get a desk at all or sit no where close to my team.  The alternative seating options provide terrible ergonomics and I cannot sit there for long periods of time.  Unfortunately, this has happened to me on multiple occasions as I do not believe that there are enough seats to account for everyone being in the office at the same time.  And in my section, people are in nearly every day.  It delays getting set up for your day.  Additionally, the personal lockers are too small and they should be taller to allow you to hang your jacket, bag, shoes and still allow room for files. I don't believe that the current open seating plan allows for employees to be as productive as they would like to be.          "
